username,numPosts,numFollowers,numFollowing
TradeWithMojo,40743,538,0
waverider07,29,48,3
jerchess,634,135,212
Pathless,819,67,20
Miss_Ish,190,19,14
terps,730,40,20
alandelmz,33805,1307,27
EveryTimeICash,6754,2186,35
mrtomschu,53,49,20
luckytoo,1583,82,4
BVBasicMaterial,36307,182,1
JacquelineK,107,26,26
5daytrader,17,19,81
ONeil_Trader,970,308,18
Vhs,1062,32,43
mtltrader,297,32,32
StockMasterGeneral,717,259,0
kosnarf,183,25,2
Jsea,131,13,60
SentimentNews,1232,167,353
SectorTrends,452,360,12
yudejavu,11,14,15
DKTrading,2255,381,0
SaulM,34,7,54
DontTalkStocks,132,388,35
NetApp,25,184,2
XlTrader75,251,8,13
ericschell0,212,16,10
Ferrari321,267,81,19
TrendTrader4u,8828,7211,34
Babalu04,12410,330,17
joneymather,1423,26,33
tradersfly,2050,197,5
Servo27,533,64,161
JWard_73,548,91,15
stockbullish,400,20,2
jrroche,9,95,1
DanDzombak,263,10421,10
FactSet,255,7477,10
Chesapeake,23,296,20
AlphaLobo,1073,54,66
Monster_Trader,12,239,19
St0ckTrader,47,56,4
Journalofvalue,30,122,34
cataldochris,93,27,11
julieverhage,75,9006,37
sammiltontrade,12,87,198
jbminn,13,20,26
frankvoisin,268,186,51
james_007__,415,11,16
TesseraTech,6,26,1
TeamCappio,413,4408,59
spytrades,15,11,0
chileeater,341,41,18
VirtueOfSelfishInvesting,247,216,151
inspi2e,41,7,17
1986iamwallstreet,13145,565,177
chrisbeanie,62,20,0
Yoli,79,8,5
jvaleski,5,53,60
DoinWerk,5419,172,156
CoghlanCapital,25,59,168
LTbioinvestor,230,562,0
Deviad,26,15,10
superstocktradesmadeeasy,2355,277,6
Investors101,485,6,1
5N1PE,11530,6259,34
Mr_P,83,87,0
StockBazooka,536,6,19
ROCKETFISH,4119,63,13
quantcha,15706,14948,35
iamwallstreet86,1094,29,39
LLAMA_APPRENTICE,282,6,23
bt24_7,3909,590,3
asxguru,30,47,35
MWellerFX,8440,18205,147
Trebizondian,28,46,56
khanvict21,1016,28,27
RealJakeMoore,486,14,32
Tanthius,275,100,57
m3rider,310,10,10
loopx,1805,14,15
N0M0NEY_N0H0NEY,14,18,93
theothersideofthetrade,758,9,12
Goldmine2013,5692,152,1
SuperstarTrader,6,106,8
Pharma2010,14,88,3
Bobert,11,31,3
Monika68,6974,105,5
thelastroyalty,1018,36,26
Momochaser,1574,58,0
theflynews,812,4974,0
kapone,2744,63,29
Joerazorback,10916,204,68
WiseOwlTrader,1247,61,27
40kto4MillionIn5yrs,212,143,1
urbanomical,2477,123,129
WrightFX,266,3793,52
KimJongUn,365,10,61
OptionsIgnition,227,90,6
Rapture133,4739,26,3
KingDollarFX,313,30,0
stox4thewin,1314,77,40
Strong887,2387,164,40
PCORPION,923,18,82
iiTRADER,40,224,27
SteadyOptions,20,209,9
TheTradersGrail,174,40,5
globalfxclub,867,2922,2
BADMASH31,84,13,4
Viking,1572,70,15
edgled,10,60,4
BlackHawkTrader,2449,209,91
willgrimmer,87,6,13
theoptionpit,15,99,4
Gabriel_Boater,648,22,1
stocktilludrop,147,16,2
stockuverse,550,103,17
iCanute,1713,19,6
StockTwitsLinks,2250,236,36
AskTradeMentor,48,12,0
Tofutodd,406,5,4
Indorock,299,7,6
stayabove,636,13,0
NeverSettled,8712,300,21
STL_Trader22,425,68,113
Rocabye,6664,77,13
_flipper_,10940,392,162
Top10Picks,669,107,0
MrStemCell,19,116,11
codycoyote,710,17,16
techieheaven,1376,94,3
QuickAnn,56,17,55
MeatoftheMove,440,13,4
mush7,3586,25,21
AaronA,424,57,55
kwdozier,626,20,25
Johhny,7278,233,15
stocktweecker,5,241,0
2tradersclub,110,157,1
BioStockAddict,47,335,28
dsybot,669,62,102
tracer2003,357,68,317
fractaltrader31,10,13,9
STtech,3660,263,62
JohnLong,684,29,15
jackp27,14,19,37
raulin,272,136,141
Financehulligan,224,20,4
